,Rank,Date,Team,Acquired,Relinquished,Notes
17596,17596,2012-03-05,TOR,Solomon Alabi,,activated from IL
17597,17597,2012-03-05,MIN,,Nikola Peković,placed on IL with sore right foot
17598,17598,2012-03-05,MIN,Anthony Randolph,,activated from IL
17599,17599,2012-03-06,CHA,,Cory Higgins,placed on IL
17600,17600,2012-03-06,CHA,Bismack Biyombo,,activated from IL
17601,17601,2012-03-06,MIA,,Terrel Harris,placed on IL
17602,17602,2012-03-06,LAL,,Devin Ebanks,placed on IL
17603,17603,2012-03-06,LAL,Darius Morris,,activated from IL
17604,17604,2012-03-06,ORL,,Von Wafer,placed on IL with sore left shoulder
17605,17605,2012-03-06,ORL,Justin Harper,,activated from IL
17606,17606,2012-03-06,HOU,,Greg Smith,placed on IL
17607,17607,2012-03-06,HOU,Hasheem Thabeet,,activated from IL
17608,17608,2012-03-06,CLE,Christian Eyenga,,activated from IL
17609,17609,2012-03-07,CHA,,Boris Diaw,placed on IL
17610,17610,2012-03-07,CHA,Reggie Williams,,activated from IL
17611,17611,2012-03-07,CLE,,Christian Eyenga,placed on IL (F)
17612,17612,2012-03-07,CLE,,Luke Harangody,placed on IL (F)
17613,17613,2012-03-07,LAL,Devin Ebanks,,activated from IL
17614,17614,2012-03-07,DEN,,Rudy Fernández,placed on IL with strained lower back (P)
17615,17615,2012-03-07,DEN,Kosta Koufos,,activated from IL
17616,17616,2012-03-07,LAL,,Darius Morris,placed on IL
17617,17617,2012-03-08,ORL,,Justin Harper,placed on IL
17618,17618,2012-03-08,ORL,DeAndre Liggins,,activated from IL
17619,17619,2012-03-09,POR,,Elliot Williams,placed on IL with dislocated left shoulder
17620,17620,2012-03-09,POR,Chris Johnson,,activated from IL
17621,17621,2012-03-09,CHA,,DeSagana Diop,placed on IL
17622,17622,2012-03-09,CHA,Cory Higgins,,activated from IL
17623,17623,2012-03-09,BOS,,Mickaël Piétrus,placed on IL with sore right knee
17624,17624,2012-03-09,BOS,E'Twaun Moore,,activated from IL
17625,17625,2012-03-09,ATL,,Jason Collins,placed on IL
17626,17626,2012-03-09,ATL,Joe Johnson,,activated from IL
17627,17627,2012-03-09,NYK,,Jared Jeffries,placed on IL
17628,17628,2012-03-09,DEN,,Kosta Koufos,placed on IL (F)
17629,17629,2012-03-09,DET,,Vernon Macklin,placed on IL
17630,17630,2012-03-09,SAS,,Tony Parker,placed on IL with right thigh injury
17631,17631,2012-03-09,SAS,,T.J. Ford,placed on IL with head injury (F)
17632,17632,2012-03-09,MIN,,J.J. Barea,placed on IL with sprained left ankle
17633,17633,2012-03-09,MIN,Nikola Peković,,activated from IL
17634,17634,2012-03-10,UTA,DeMarre Carroll,,activated from IL
17635,17635,2012-03-10,DET,Charlie Villanueva,,activated from IL
17636,17636,2012-03-10,TOR,,Solomon Alabi,placed on IL (F)
17637,17637,2012-03-10,HOU,,Kyle Lowry,placed on IL with illness / bacterial infection
17638,17638,2012-03-10,HOU,Jordan Hill,,activated from IL
17639,17639,2012-03-10,MIN,,Ricky Rubio,placed on IL with torn ACL in left knee (out for season)
17640,17640,2012-03-10,MIN,Malcolm Lee,,activated from IL
17641,17641,2012-03-10,WAS,,Rashard Lewis,placed on IL (F)
17642,17642,2012-03-11,BOS,,Chris Wilcox,placed on IL with enlarged aorta
17643,17643,2012-03-11,BOS,Mickaël Piétrus,,activated from IL
17644,17644,2012-03-11,ATL,,Jason Collins,placed on IL with sprained left elbow
17645,17645,2012-03-11,ATL,Joe Johnson,,activated from IL (P)
17646,17646,2012-03-11,ORL,,Jason Richardson,placed on IL with sprained left ankle
17647,17647,2012-03-11,ORL,Von Wafer,,activated from IL
17648,17648,2012-03-11,TOR,,José Calderón,placed on IL with sprained right ankle
17649,17649,2012-03-11,TOR,Andrea Bargnani,,activated from IL
17650,17650,2012-03-11,HOU,,Terrence Williams,placed on IL with stomach ailment (P)
17651,17651,2012-03-11,HOU,Greg Smith,,activated from IL
17652,17652,2012-03-12,CHA,,Eduardo Nájera,placed on IL with knee injury
17653,17653,2012-03-12,CHA,Boris Diaw,,activated from IL
17654,17654,2012-03-12,UTA,,DeMarre Carroll,placed on IL
17655,17655,2012-03-12,SAS,Tony Parker,,activated from IL
17656,17656,2012-03-12,MIN,,Darko Miličić,placed on IL
17657,17657,2012-03-12,MIN,J.J. Barea,,activated from IL
17658,17658,2012-03-13,MIA,,Mike Miller,placed on IL with sprained left ankle
17659,17659,2012-03-13,MIA,Terrel Harris,,activated from IL
17660,17660,2012-03-13,SAC,,Tyler Honeycutt,placed on IL
17661,17661,2012-03-13,SAC,J.J. Hickson,,activated from IL
17662,17662,2012-03-13,ORL,,Von Wafer,placed on IL with back injury (F)
17663,17663,2012-03-13,ORL,Justin Harper,,activated from IL
17664,17664,2012-03-13,DAL,Brandan Wright,,activated from IL
17665,17665,2012-03-13,DEN,,Julyan Stone,placed on IL
17666,17666,2012-03-13,DEN,Rudy Fernández,,activated from IL
17667,17667,2012-03-13,HOU,,Jordan Hill,placed on IL with flu (F)
17668,17668,2012-03-13,DAL,,Sean Williams,placed on IL
17669,17669,2012-03-14,PHI,Spencer Hawes,,activated from IL
17670,17670,2012-03-14,CHA,,Cory Higgins,placed on IL
17671,17671,2012-03-14,CHA,DeSagana Diop,,activated from IL
17672,17672,2012-03-14,MIL,,Ekpe Udoh,placed on IL
17673,17673,2012-03-14,MIL,,Monta Ellis,placed on IL
17674,17674,2012-03-14,CHI,,Richard Hamilton,placed on IL with right shoulder injury
17675,17675,2012-03-14,NYK,Jared Jeffries,,activated from IL
17676,17676,2012-03-14,HOU,Jordan Hill,,activated from IL
17677,17677,2012-03-14,GSW,,Stephen Jackson,placed on IL
17678,17678,2012-03-15,CHA,,Boris Diaw,placed on IL
17679,17679,2012-03-15,CHA,Eduardo Nájera,,activated from IL
17680,17680,2012-03-15,UTA,,Earl Watson,placed on IL with ankle injury
17681,17681,2012-03-15,UTA,DeMarre Carroll,,activated from IL
17682,17682,2012-03-15,DEN,Julyan Stone,,activated from IL
17683,17683,2012-03-15,DEN,Kosta Koufos,,activated from IL
17684,17684,2012-03-15,OKC,,Ryan Reid,placed on IL
17685,17685,2012-03-15,OKC,Thabo Sefolosha,,activated from IL
17686,17686,2012-03-15,MIN,,Michael Beasley,placed on IL with toe injury
17687,17687,2012-03-15,MIN,Darko Miličić,,activated from IL
17688,17688,2012-03-15,LAC,,Nick Young,placed on IL
17689,17689,2012-03-15,DEN,,JaVale McGee,placed on IL
17690,17690,2012-03-15,DEN,,Ronny Turiaf,placed on IL
17691,17691,2012-03-16,PHI,,Spencer Hawes,placed on IL with left Achilles tendon injury
17692,17692,2012-03-16,POR,,Mehmet Okur,placed on IL
17693,17693,2012-03-16,MIL,,Ersan İlyasova,placed on IL with illness (F)
17694,17694,2012-03-16,MIL,,Kwame Brown,placed on IL recovering from surgery to repair torn right pectoralis muscle in chest (out for season)
17695,17695,2012-03-16,MEM,Zach Randolph,,activated from IL
17696,17696,2012-03-16,SAC,,Francisco García,placed on IL with sprained wrist
17697,17697,2012-03-16,SAC,Tyler Honeycutt,,activated from IL
17698,17698,2012-03-16,LAL,,Christian Eyenga,placed on IL
17699,17699,2012-03-16,LAL,,Jordan Hill,placed on IL
17700,17700,2012-03-16,ORL,,Justin Harper,placed on IL
17701,17701,2012-03-16,ORL,Jason Richardson,,activated from IL
17702,17702,2012-03-16,IND,,Leandro Barbosa,placed on IL
17703,17703,2012-03-16,SAS,,Manu Ginóbili,placed on IL with hip flexor injury
17704,17704,2012-03-16,SAS,,Stephen Jackson,placed on IL
17705,17705,2012-03-16,GSW,,Andrew Bogut,placed on IL with fractured right ankle (out for season)
17706,17706,2012-03-16,GSW,,Richard Jefferson,placed on IL
17707,17707,2012-03-16,GSW,,T.J. Ford,placed on IL
17708,17708,2012-03-16,HOU,Terrence Williams,,activated from IL
17709,17709,2012-03-16,LAL,Darius Morris,,activated from IL
17710,17710,2012-03-17,PHI,,Craig Brackins,placed on IL with stomach virus
17711,17711,2012-03-17,PHI,Spencer Hawes,,activated from IL
17712,17712,2012-03-17,CHA,,DeSagana Diop,placed on IL
17713,17713,2012-03-17,CHA,Cory Higgins,,activated from IL
17714,17714,2012-03-17,DAL,,Brendan Haywood,placed on IL with sprained right knee
17715,17715,2012-03-17,DAL,Sean Williams,,activated from IL
17716,17716,2012-03-17,NJN,,Brook Lopez,placed on IL with sprained right ankle (out for season)
17717,17717,2012-03-17,HOU,,Derek Fisher,placed on IL
17718,17718,2012-03-17,HOU,,Marcus Camby,placed on IL
17719,17719,2012-03-17,SAS,Manu Ginóbili,,activated from IL
17720,17720,2012-03-17,SAS,Stephen Jackson,,activated from IL
17721,17721,2012-03-17,GSW,Richard Jefferson,,activated from IL
17722,17722,2012-03-17,DEN,Ronny Turiaf,,activated from IL
17723,17723,2012-03-18,POR,,Shawne Williams,placed on IL with foot injury (out for season)
17724,17724,2012-03-18,CLE,,Anderson Varejão,placed on IL (F) (out for season)
17725,17725,2012-03-18,CLE,,Luke Harangody,placed on IL (P)
17726,17726,2012-03-18,LAC,,Travis Leslie,placed on IL
17727,17727,2012-03-18,LAC,Nick Young,,activated from IL
17728,17728,2012-03-18,ATL,,Marvin Williams,placed on IL with hip flexor injury
17729,17729,2012-03-18,ATL,Jason Collins,,activated from IL
17730,17730,2012-03-18,UTA,,Raja Bell,placed on IL
17731,17731,2012-03-18,UTA,Earl Watson,,activated from IL
17732,17732,2012-03-18,SAC,,Tyreke Evans,placed on IL with sprained left ankle
17733,17733,2012-03-18,SAC,Francisco García,,activated from IL
17734,17734,2012-03-18,LAL,Jordan Hill,,activated from IL
17735,17735,2012-03-18,ORL,,Ish Smith,placed on IL
17736,17736,2012-03-18,ORL,Von Wafer,,activated from IL
17737,17737,2012-03-18,HOU,Marcus Camby,,activated from IL
17738,17738,2012-03-18,MIN,,Nikola Peković,placed on IL with sore left ankle
17739,17739,2012-03-18,MIN,Michael Beasley,,activated from IL
17740,17740,2012-03-18,WAS,,Rashard Lewis,placed on IL with sore left knee (out for season)
17741,17741,2012-03-18,POR,Elliot Williams,,activated from IL (P)
17742,17742,2012-03-18,POR,,Elliot Williams,placed on IL (F) (out for season)
17743,17743,2012-03-19,CHA,,Corey Maggette,placed on IL with back injury
17744,17744,2012-03-19,CHA,DeSagana Diop,,activated from IL
17745,17745,2012-03-19,CLE,,Manny Harris,placed on IL (F)
17746,17746,2012-03-19,ORL,,Von Wafer,placed on IL with back injury
17747,17747,2012-03-19,ORL,Ish Smith,,activated from IL
17748,17748,2012-03-19,DEN,,Jordan Hamilton,placed on IL
17749,17749,2012-03-19,DEN,,Julyan Stone,placed on IL
17750,17750,2012-03-19,DEN,JaVale McGee,,activated from IL
17751,17751,2012-03-19,MIN,,Darko Miličić,placed on IL
17752,17752,2012-03-19,MIN,Nikola Peković,,activated from IL
17753,17753,2012-03-19,GSW,,Stephen Curry,placed on IL (F)
17754,17754,2012-03-19,ATL,,Jannero Pargo,placed on IL with appendectomy
17755,17755,2012-03-20,MIL,,Jon Leuer,placed on IL
17756,17756,2012-03-20,MIL,Ersan İlyasova,,activated from IL
17757,17757,2012-03-20,LAC,Travis Leslie,,activated from IL
17758,17758,2012-03-20,UTA,,Josh Howard,placed on IL with surgery on left knee
17759,17759,2012-03-20,SAC,Tyreke Evans,,activated from IL
17760,17760,2012-03-20,NYK,,Baron Davis,placed on IL with strained right hamstring
17761,17761,2012-03-20,IND,,Jeff Foster,placed on IL with sore lower back
17762,17762,2012-03-20,IND,Leandro Barbosa,,activated from IL
17763,17763,2012-03-20,TOR,José Calderón,,activated from IL (P)
17764,17764,2012-03-21,PHI,Craig Brackins,,activated from IL
17765,17765,2012-03-21,ATL,,Jannero Pargo,placed on IL with appendectomy
17766,17766,2012-03-21,ATL,Marvin Williams,,activated from IL
17767,17767,2012-03-21,NYK,,Jerome Jordan,placed on IL
17768,17768,2012-03-21,NYK,Baron Davis,,activated from IL
17769,17769,2012-03-21,ORL,,Daniel Orton,placed on IL
17770,17770,2012-03-21,ORL,Justin Harper,,activated from IL
17771,17771,2012-03-21,DEN,,Kosta Koufos,placed on IL with left knee tendinitis
17772,17772,2012-03-21,DEN,,Rudy Fernández,placed on IL with strained lower back (out for season)
17773,17773,2012-03-21,DEN,Jordan Hamilton,,activated from IL
17774,17774,2012-03-21,DEN,Julyan Stone,,activated from IL
17775,17775,2012-03-21,SAS,,Matt Bonner,placed on IL with back injury (F)
17776,17776,2012-03-21,SAS,,Patty Mills,placed on IL
17777,17777,2012-03-21,OKC,,Daequan Cook,placed on IL with knee injury
17778,17778,2012-03-21,MIN,,Nikola Peković,placed on IL with sore left ankle (F)
17779,17779,2012-03-21,POR,Mehmet Okur,,activated from IL
17780,17780,2012-03-22,POR,,Elliot Williams,placed on IL (P) (out for season)
17781,17781,2012-03-22,SAC,,Terrence Williams,placed on IL
17782,17782,2012-03-23,CHA,,Eduardo Nájera,placed on IL with sore left knee
17783,17783,2012-03-23,CHA,Corey Maggette,,activated from IL
17784,17784,2012-03-23,BOS,,Ray Allen,placed on IL with sore left (P) / right (CBC) ankle
17785,17785,2012-03-23,MIA,,Terrel Harris,placed on IL
17786,17786,2012-03-23,NYK,,Jared Jeffries,placed on IL with right knee inflammation
17787,17787,2012-03-23,NYK,Jerome Jordan,,activated from IL
17788,17788,2012-03-23,ORL,,Justin Harper,placed on IL
17789,17789,2012-03-23,ORL,Daniel Orton,,activated from IL
17790,17790,2012-03-23,DAL,Brendan Haywood,,activated from IL
17791,17791,2012-03-23,SAS,,Cory Joseph,placed on IL
17792,17792,2012-03-23,SAS,Matt Bonner,,activated from IL
17793,17793,2012-03-23,MIN,,Nikola Peković,placed on IL with sore left ankle (P)
17794,17794,2012-03-23,MIN,Darko Miličić,,activated from IL
17795,17795,2012-03-23,BOS,Chris Wilcox,,activated from IL
17796,17796,2012-03-23,DAL,,Kelenna Azubuike,placed on IL
17797,17797,2012-03-23,IND,,Kyrylo Fesenko,placed on IL
17798,17798,2012-03-24,LAC,,Travis Leslie,placed on IL
17799,17799,2012-03-24,NOH,Carl Landry,,activated from IL (P)
17800,17800,2012-03-24,SAC,,Jason Thompson,placed on IL with sprained left ankle
17801,17801,2012-03-24,DET,Charlie Villanueva,,activated from IL
17802,17802,2012-03-24,SAS,,Manu Ginóbili,placed on IL with sore hip (F)
17803,17803,2012-03-24,SAS,,Tiago Splitter,placed on IL with back spasms (F)
17804,17804,2012-03-24,WAS,,Andray Blatche,placed on IL (F) (out for season)
17805,17805,2012-03-24,GSW,,Chris Wright,placed on IL (F)
17806,17806,2012-03-25,BOS,,Mickaël Piétrus,placed on IL with neck injury / concussion
17807,17807,2012-03-25,MEM,,Josh Selby,placed on IL
17808,17808,2012-03-25,BOS,Ray Allen,,activated from IL
17809,17809,2012-03-25,OKC,Reggie Jackson,,activated from IL
17810,17810,2012-03-26,LAC,,Mo Williams,placed on IL with sprained left big toe
17811,17811,2012-03-26,NYK,,Amar'e Stoudemire,placed on IL with bulging disc in lower back
17812,17812,2012-03-26,NYK,Jared Jeffries,,activated from IL
17813,17813,2012-03-26,HOU,,Greg Smith,placed on IL (F)
17814,17814,2012-03-27,PHI,Craig Brackins,,activated from IL (P)
17815,17815,2012-03-27,SAS,,Tiago Splitter,placed on IL with back spasms (P)
17816,17816,2012-03-27,SAS,Patty Mills,,activated from IL
17817,17817,2012-03-27,GSW,,Stephen Curry,placed on IL with sprained right ankle (out for season)
17818,17818,2012-03-28,CHA,,Cory Higgins,placed on IL
17819,17819,2012-03-28,CHA,Eduardo Nájera,,activated from IL
17820,17820,2012-03-28,SAC,,John Salmons,placed on IL with hip injury (out for season)
17821,17821,2012-03-28,SAC,Jason Thompson,,activated from IL
17822,17822,2012-03-28,ORL,,Daniel Orton,placed on IL
17823,17823,2012-03-28,ORL,Von Wafer,,activated from IL
17824,17824,2012-03-28,DEN,,Danilo Gallinari,placed on IL with fractured left thumb
17825,17825,2012-03-28,DEN,Kosta Koufos,,activated from IL
17826,17826,2012-03-28,TOR,,Jerryd Bayless,placed on IL with partially torn left oblique muscle (out for season)
17827,17827,2012-03-28,SAS,,Justin Dentmon,placed on IL
17828,17828,2012-03-28,SAS,Tiago Splitter,,activated from IL
17829,17829,2012-03-29,DAL,,Dominique Jones,placed on IL
17830,17830,2012-03-29,DAL,Delonte West,,activated from IL
17831,17831,2012-03-29,WAS,,Andray Blatche,placed on IL (P) (out for season)
17832,17832,2012-03-30,CHA,,DeSagana Diop,placed on IL
17833,17833,2012-03-30,CHA,Cory Higgins,,activated from IL
17834,17834,2012-03-30,MIL,,Carlos Delfino,placed on IL with right groin injury
17835,17835,2012-03-30,MIL,Jon Leuer,,activated from IL
17836,17836,2012-03-30,CLE,,Daniel Gibson,placed on IL with torn tendon in left ankle
17837,17837,2012-03-30,MIA,Terrel Harris,,activated from IL
17838,17838,2012-03-30,ORL,,Von Wafer,placed on IL
17839,17839,2012-03-30,ORL,Daniel Orton,,activated from IL
17840,17840,2012-03-30,HOU,,Malcolm Thomas,placed on IL
17841,17841,2012-03-31,CHA,,Corey Maggette,placed on IL with strained right Achilles tendon
17842,17842,2012-03-31,CHA,DeSagana Diop,,activated from IL
17843,17843,2012-03-31,NYK,,Jared Jeffries,placed on IL with sore right knee
17844,17844,2012-03-31,NYK,Henry Walker,,activated from IL
17845,17845,2012-04-01,MIA,,Eddy Curry,placed on IL
17846,17846,2012-04-01,NOH,,Emeka Okafor,placed on IL (F) (out for season)
17847,17847,2012-04-01,NOH,,Trevor Ariza,placed on IL (F)
17848,17848,2012-04-01,ORL,,Dwight Howard,placed on IL with back injury
17849,17849,2012-04-01,ORL,Justin Harper,,activated from IL
17850,17850,2012-04-01,MIN,,Michael Beasley,placed on IL with strained left big toe
17851,17851,2012-04-01,MIN,Nikola Peković,,activated from IL
17852,17852,2012-04-02,CHI,Richard Hamilton,,activated from IL (P)
17853,17853,2012-04-02,DAL,,Jason Kidd,placed on IL with strained right groin
17854,17854,2012-04-02,DAL,Dominique Jones,,activated from IL
17855,17855,2012-04-02,OKC,,Reggie Jackson,placed on IL
17856,17856,2012-04-02,OKC,Daequan Cook,,activated from IL
17857,17857,2012-04-03,CHA,,DeSagana Diop,placed on IL (F)
17858,17858,2012-04-03,MIA,,Dwyane Wade,placed on IL with bruised left knee
17859,17859,2012-04-03,MIA,Eddy Curry,,activated from IL
17860,17860,2012-04-03,ORL,,Jameer Nelson,placed on IL with calf injury
17861,17861,2012-04-03,ORL,,Ryan Anderson,placed on IL with sprained right ankle
17862,17862,2012-04-03,ORL,Von Wafer,,activated from IL
17863,17863,2012-04-03,ORL,Dwight Howard,,activated from IL
17864,17864,2012-04-04,ATL,,Vladimir Radmanović,placed on IL with back injury
17865,17865,2012-04-04,ATL,Jannero Pargo,,activated from IL
17866,17866,2012-04-04,MIA,,Eddy Curry,placed on IL
17867,17867,2012-04-04,MIA,Dwyane Wade,,activated from IL
17868,17868,2012-04-04,NOH,,Emeka Okafor,placed on IL (P) with sore left knee (out for season)
17869,17869,2012-04-04,NOH,Eric Gordon,,activated from IL
17870,17870,2012-04-04,MIN,,Luke Ridnour,placed on IL with sprained right ankle (out for season)
17871,17871,2012-04-04,MIN,Michael Beasley,,activated from IL
17872,17872,2012-04-05,CHI,,Derrick Rose,placed on IL with strained groin
17873,17873,2012-04-05,NYK,,Jeremy Lin,placed on IL recovering from surgery on left knee to repair torn meniscus (out for season)
17874,17874,2012-04-05,NYK,Jared Jeffries,,activated from IL
17875,17875,2012-04-05,ORL,,Quentin Richardson,placed on IL with sore back
